CHR_ID,CHR_POS,STRONGEST SNP-RISK ALLELE,CONTEXT,MAPPED_TRAIT
11,103745837,rs141752671-G,intron_variant,"lung carcinoma, estrogen-receptor negative breast cancer, ovarian endometrioid carcinoma, colorectal cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"
12,111621753,rs11065979-T,intergenic_variant,"lung carcinoma, estrogen-receptor negative breast cancer, ovarian endometrioid carcinoma, colorectal cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"
20,34002002,rs2300206-C,intron_variant,"lung carcinoma, estrogen-receptor negative breast cancer, ovarian endometrioid carcinoma, colorectal cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"
13,32295727,rs56084662-A,3_prime_UTR_variant,"lung carcinoma, estrogen-receptor negative breast cancer, ovarian endometrioid carcinoma, colorectal cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"
1,155212052,rs2974935-T,non_coding_transcript_exon_variant,"lung carcinoma, estrogen-receptor negative breast cancer, ovarian endometrioid carcinoma, colorectal cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"
1,210816167,rs11119608-T,intron_variant,"lung carcinoma, estrogen-receptor negative breast cancer, ovarian endometrioid carcinoma, colorectal cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"
3,169043635,rs75316749-G,intergenic_variant,"lung carcinoma, estrogen-receptor negative breast cancer, ovarian endometrioid carcinoma, colorectal cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"
7,79974067,rs115707823-A,non_coding_transcript_exon_variant,"lung carcinoma, estrogen-receptor negative breast cancer, ovarian endometrioid carcinoma, colorectal cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"
6,80398959,rs4604234-C,intergenic_variant,"lung carcinoma, estrogen-receptor negative breast cancer, ovarian endometrioid carcinoma, colorectal cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"
9,21951903,rs12349081-A,intron_variant,"lung carcinoma, estrogen-receptor negative breast cancer, ovarian endometrioid carcinoma, colorectal cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"
9,22062135,rs1011970-T,intron_variant,"lung carcinoma, estrogen-receptor negative breast cancer, ovarian endometrioid carcinoma, colorectal cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"
12,111446804,rs3184504-C,missense_variant,"lung carcinoma, estrogen-receptor negative breast cancer, ovarian endometrioid carcinoma, colorectal cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"
13,32398489,rs11571833-T,stop_gained,"lung carcinoma, estrogen-receptor negative breast cancer, ovarian endometrioid carcinoma, colorectal cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"
17,37741642,rs12601991-T,intron_variant,"lung carcinoma, estrogen-receptor negative breast cancer, ovarian endometrioid carcinoma, colorectal cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"
19,17279482,rs4808075-C,intron_variant,"lung carcinoma, estrogen-receptor negative breast cancer, ovarian endometrioid carcinoma, colorectal cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"
20,34131991,rs11907546-C,intergenic_variant,"lung carcinoma, estrogen-receptor negative breast cancer, ovarian endometrioid carcinoma, colorectal cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"
13,32265853,rs56404467-A,intron_variant,"lung carcinoma, estrogen-receptor negative breast cancer, ovarian endometrioid carcinoma, colorectal cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"
20,34002002,rs2300206-G,intron_variant,"lung carcinoma, estrogen-receptor negative breast cancer, ovarian endometrioid carcinoma, colorectal cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"
5,14017958,rs339947-A,intergenic_variant,"response to bevacizumab, Proteinuria"
3,156314389,rs6770663-G,intron_variant,"response to bevacizumab, hypertension"
4,24995076,rs13135230-A,intergenic_variant,"response to bevacizumab, hypertension"
17,1391192,rs16945809-A,intron_variant,"response to bevacizumab, hypertension, Proteinuria"
6,40568389,rs2494938-A,intron_variant,"lung carcinoma, squamous cell carcinoma, gastric carcinoma"
7,21544470,rs2285947-A,intron_variant,"lung carcinoma, squamous cell carcinoma, gastric carcinoma"
18,70034347,rs142021700-C,intron_variant,"laryngeal squamous cell carcinoma, hypopharynx cancer"
10,4981859,rs77045180-T,3_prime_UTR_variant,"laryngeal squamous cell carcinoma, hypopharynx cancer"
5,111546481,rs402848-A,intron_variant,Epithelioid Cell Uveal Melanoma
7,137447703,rs28670044-T,intron_variant,Epithelioid Cell Uveal Melanoma
9,122601929,rs10985729-G,intron_variant,Epithelioid Cell Uveal Melanoma
5,1286401,rs2736100-C,3_prime_UTR_variant,"head and neck carcinoma, lung cancer"
5,1320132,rs380286-G,intron_variant,"head and neck carcinoma, lung cancer"
6,31758476,rs3117575-T,intron_variant,"head and neck carcinoma, lung cancer"
6,110429349,rs9481067-G,intron_variant,colorectal mucinous adenocarcinoma
3,114402172,rs10511330-C,intron_variant,colorectal mucinous adenocarcinoma
3,114398480,rs16822593-A,intron_variant,colorectal mucinous adenocarcinoma
2,178995835,rs13019215-C,intron_variant,colorectal mucinous adenocarcinoma
2,179003258,rs12471607-C,intron_variant,colorectal mucinous adenocarcinoma
5,81187755,rs716897-T,intron_variant,colorectal mucinous adenocarcinoma
9,129161670,rs4837345-T,intron_variant,colorectal mucinous adenocarcinoma
9,129168215,rs10819474-C,intron_variant,colorectal mucinous adenocarcinoma
14,84647825,rs11159673-A,intergenic_variant,colorectal mucinous adenocarcinoma
9,129176634,rs1075650-G,3_prime_UTR_variant,colorectal mucinous adenocarcinoma
6,1294916,rs6596805-G,intergenic_variant,colorectal mucinous adenocarcinoma
12,23683278,rs11047047-G,intron_variant,colorectal mucinous adenocarcinoma
10,88820573,rs1661281-T,3_prime_UTR_variant,colorectal mucinous adenocarcinoma
15,31064935,rs919001-A,intron_variant,colorectal mucinous adenocarcinoma
12,11809639,rs7314811-C,intron_variant,colorectal mucinous adenocarcinoma
12,11812006,rs16907305-A,intron_variant,colorectal mucinous adenocarcinoma
1,155176305,rs4971059-G,intron_variant,"breast cancer, lung cancer"
1,46135245,rs1707302-A,intron_variant,"breast cancer, lung cancer"
10,62687592,rs224121-A,intron_variant,"breast cancer, lung cancer"
10,79129101,rs7097066-G,intron_variant,"breast cancer, lung cancer"
14,92636964,rs10498635-C,intron_variant,"breast cancer, lung cancer"
19,17292224,rs4808616-C,3_prime_UTR_variant,"breast cancer, lung cancer"
2,173348166,rs1550623-G,intron_variant,"breast cancer, lung cancer"
5,1297373,rs2736108-C,regulatory_region_variant,"breast cancer, lung cancer"
5,1308437,rs4635969-G,intergenic_variant,"breast cancer, lung cancer"
5,133105610,rs13718-A,3_prime_UTR_variant,"breast cancer, lung cancer"
5,56733416,rs16886181-T,intergenic_variant,"breast cancer, lung cancer"
6,25982782,rs13212534-G,intron_variant,"breast cancer, lung cancer"
6,27283600,rs13207082-A,intergenic_variant,"breast cancer, lung cancer"
6,28364364,rs13214023-G,intron_variant,"breast cancer, lung cancer"
6,29931900,rs2524005-G,intergenic_variant,"breast cancer, lung cancer"
6,31757453,rs3117574-G,non_coding_transcript_exon_variant,"breast cancer, lung cancer"
9,22003224,rs3217992-C,3_prime_UTR_variant,"breast cancer, lung cancer"
16,50069823,rs4785204-T,intron_variant,"squamous cell carcinoma, esophageal carcinoma"
17,41741012,rs6503659-A,intergenic_variant,"squamous cell carcinoma, esophageal carcinoma"
22,28796682,rs2239815-T,non_coding_transcript_exon_variant,"squamous cell carcinoma, esophageal carcinoma"
3,187075454,rs2239612-T,intron_variant,"squamous cell carcinoma, esophageal carcinoma"
17,2268343,rs17761864-A,intron_variant,"squamous cell carcinoma, esophageal carcinoma"
18,12821594,rs2847281-C,intron_variant,"squamous cell carcinoma, esophageal carcinoma"
22,28719078,rs4822983-T,intron_variant,"squamous cell carcinoma, esophageal carcinoma"
18,36114157,rs1050631-T,synonymous_variant,"survival time, squamous cell carcinoma, esophageal carcinoma"
18,45831894,rs11877682-T,intron_variant,"esophageal carcinoma, gastric carcinoma"
1,45986078,rs149015592-C,intron_variant,"esophageal carcinoma, gastric carcinoma"
1,43102462,rs7512851-A,intergenic_variant,"esophageal carcinoma, gastric carcinoma"
2,54227422,rs138233937-T,intron_variant,"esophageal carcinoma, gastric carcinoma"
11,87944873,rs117977426-T,intron_variant,"esophageal carcinoma, gastric carcinoma"
14,96275234,rs189358636-A,non_coding_transcript_exon_variant,"esophageal carcinoma, gastric carcinoma"
2,106071382,rs75460256-G,intron_variant,"esophageal carcinoma, gastric carcinoma"
15,31004873,rs141107350-A,intron_variant,"esophageal carcinoma, gastric carcinoma"
2,37945021,rs62134018-A,intron_variant,"esophageal carcinoma, gastric carcinoma"
3,147677285,rs13324393-A,intergenic_variant,"esophageal carcinoma, gastric carcinoma"
6,147908493,rs618688-A,intron_variant,"esophageal carcinoma, gastric carcinoma"
9,133279294,rs495828-G,intergenic_variant,"breast cancer, ovarian carcinoma"
9,16915023,rs3814113-T,intergenic_variant,"breast cancer, ovarian carcinoma"
10,121586676,rs1219648-A,intron_variant,"breast cancer, ovarian carcinoma"
10,21545607,rs7098100-G,intron_variant,"breast cancer, ovarian carcinoma"
14,91283251,rs2277509-C,intron_variant,"breast cancer, ovarian carcinoma"
14,92636964,rs10498635-C,intron_variant,"breast cancer, ovarian carcinoma"
17,30909727,rs35958868-G,intron_variant,"breast cancer, ovarian carcinoma"
17,55117408,rs244353-G,intron_variant,"breast cancer, ovarian carcinoma"
19,17292224,rs4808616-C,3_prime_UTR_variant,"breast cancer, ovarian carcinoma"
19,19419461,rs2916074-G,intron_variant,"breast cancer, ovarian carcinoma"
2,173348166,rs1550623-G,intron_variant,"breast cancer, ovarian carcinoma"
2,201258272,rs3769823-A,missense_variant,"breast cancer, ovarian carcinoma"
21,14981210,rs2822991-T,intron_variant,"breast cancer, ovarian carcinoma"
22,28643439,rs1474961-C,intron_variant,"breast cancer, ovarian carcinoma"
3,71486187,rs9878602-T,intron_variant,"breast cancer, ovarian carcinoma"
4,174924959,rs6826366-G,intron_variant,"breast cancer, ovarian carcinoma"
4,38785595,rs12233670-C,intergenic_variant,"breast cancer, ovarian carcinoma"
5,1279675,rs10069690-C,intron_variant,"breast cancer, ovarian carcinoma"
6,13716491,rs381551-G,intergenic_variant,"breast cancer, ovarian carcinoma"
6,151706820,rs851980-T,intron_variant,"breast cancer, ovarian carcinoma"
7,144377836,rs720475-G,intron_variant,"breast cancer, ovarian carcinoma"
8,128192016,rs7017073-T,intergenic_variant,"breast cancer, ovarian carcinoma"
8,75564502,rs2941478-A,3_prime_UTR_variant,"breast cancer, ovarian carcinoma"
9,104094629,rs4743687-C,5_prime_UTR_variant,"breast cancer, ovarian carcinoma"
9,108123199,rs630965-C,intergenic_variant,"breast cancer, ovarian carcinoma"
12,94733833,rs4761496-T,regulatory_region_variant,"squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma"
4,43211547,rs75790006-T,intron_variant,"squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma"
8,3372208,rs17393453-A,intron_variant,"squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma"
6,15691547,rs59112743-A,TF_binding_site_variant,"squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma"
17,61617277,rs2040609-T,intergenic_variant,"squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma"
10,70616648,rs80069861-A,intron_variant,"squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma"
10,70604089,rs35401316-T,intron_variant,"squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma"
17,61650489,rs11867566-A,intergenic_variant,"squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma"
6,51243936,rs9381952-A,intergenic_variant,"squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma"
6,51240771,rs10948606-T,intergenic_variant,"squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma"
6,51271160,rs9370019-A,intergenic_variant,"squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma"
19,51942133,rs8113308-G,intron_variant,"survival time, estrogen-receptor positive breast cancer, breast carcinoma, response to endocrine therapy"
1,64763616,rs12752552-T,intron_variant,"central nervous system cancer, glioblastoma multiforme"
11,82685972,rs11233250-C,intron_variant,"central nervous system cancer, glioblastoma multiforme"
16,954554,rs3751667-T,synonymous_variant,"central nervous system cancer, glioblastoma multiforme"
16,50094961,rs10852606-C,intron_variant,"central nervous system cancer, glioblastoma multiforme"
22,38081923,rs2235573-G,synonymous_variant,"central nervous system cancer, glioblastoma multiforme"
16,73898,rs2562152-T,intron_variant,"central nervous system cancer, glioblastoma multiforme"
5,1279675,rs10069690-T,intron_variant,"central nervous system cancer, glioblastoma multiforme"
7,54848587,rs75061358-G,intergenic_variant,"central nervous system cancer, glioblastoma multiforme"
7,55067179,rs723527-A,intron_variant,"central nervous system cancer, glioblastoma multiforme"
9,22032153,rs634537-G,intron_variant,"central nervous system cancer, glioblastoma multiforme"
20,63680946,rs2297440-C,intron_variant,"central nervous system cancer, glioblastoma multiforme"
8,129633446,rs55705857-G,intron_variant,"central nervous system cancer, glioblastoma multiforme"
17,7668434,rs78378222-G,3_prime_UTR_variant,"central nervous system cancer, glioblastoma multiforme"
1,16013277,rs1763604-C,TF_binding_site_variant,"prostate carcinoma, breast carcinoma, ovarian carcinoma"
1,155016057,rs77548871-C,intron_variant,"prostate carcinoma, breast carcinoma, ovarian carcinoma"
2,85573959,rs13007211-A,intron_variant,"prostate carcinoma, breast carcinoma, ovarian carcinoma"
2,111138666,rs17041869-A,intron_variant,"prostate carcinoma, breast carcinoma, ovarian carcinoma"
7,27950149,rs739704-A,intron_variant,"prostate carcinoma, breast carcinoma, ovarian carcinoma"
7,144377836,rs720475-A,intron_variant,"prostate carcinoma, breast carcinoma, ovarian carcinoma"
8,126990792,rs17762342-A,intron_variant,"prostate carcinoma, breast carcinoma, ovarian carcinoma"
8,128187668,rs3802173-T,intergenic_variant,"prostate carcinoma, breast carcinoma, ovarian carcinoma"
9,21956231,rs9657608-T,intron_variant,"prostate carcinoma, breast carcinoma, ovarian carcinoma"
10,22010574,rs7898685-A,regulatory_region_variant,"prostate carcinoma, breast carcinoma, ovarian carcinoma"
10,113390512,rs568110-T,regulatory_region_variant,"prostate carcinoma, breast carcinoma, ovarian carcinoma"
11,62126500,rs7937840-T,intron_variant,"prostate carcinoma, breast carcinoma, ovarian carcinoma"
11,66324772,rs118151305-A,intergenic_variant,"prostate carcinoma, breast carcinoma, ovarian carcinoma"
11,69138652,rs72932523-A,intron_variant,"prostate carcinoma, breast carcinoma, ovarian carcinoma"
14,91283251,rs2277509-A,intron_variant,"prostate carcinoma, breast carcinoma, ovarian carcinoma"
17,55135212,rs2628317-A,intron_variant,"prostate carcinoma, breast carcinoma, ovarian carcinoma"
19,19417997,rs1469713-A,intron_variant,"prostate carcinoma, breast carcinoma, ovarian carcinoma"
2,123261223,rs1519277-T,intergenic_variant,breast carcinoma
17,71440368,rs11651604-C,regulatory_region_variant,breast carcinoma
1,213369363,rs17020562-C,intergenic_variant,breast carcinoma
2,236525150,rs114971217-A,intergenic_variant,breast carcinoma
7,158170200,rs117114682-G,intron_variant,breast carcinoma
11,68164294,rs4930561-A,intron_variant,breast carcinoma
22,27215781,rs147512482-G,intergenic_variant,breast carcinoma
1,213369363,rs17020562-C,intergenic_variant,breast carcinoma
10,121577821,rs2981579-T,intron_variant,progesterone-receptor negative breast cancer
16,52500255,rs8051542-C,intron_variant,luminal A breast carcinoma
16,56906740,rs36013457-A,non_coding_transcript_exon_variant,luminal A breast carcinoma
2,20738758,rs76893106-G,intron_variant,luminal A breast carcinoma
1,162639948,rs7512080-G,intron_variant,choroidal melanoma
3,14343616,rs12163644-A,regulatory_region_variant,choroidal melanoma
10,117971770,rs1419138-C,intergenic_variant,choroidal melanoma
14,89955214,rs3759710-C,5_prime_UTR_variant,choroidal melanoma
18,13478722,rs35648237-G,intron_variant,choroidal melanoma
4,130547531,rs13105686-C,intergenic_variant,Epithelioid Cell Uveal Melanoma
13,20822372,rs73167445-T,intron_variant,Epithelioid Cell Uveal Melanoma
14,89955214,rs3759710-C,5_prime_UTR_variant,Epithelioid Cell Uveal Melanoma
2,58008251,rs1518400-T,intron_variant,Epithelioid Cell Uveal Melanoma
7,158170200,rs117114682-G,intron_variant,"response to radiation, breast carcinoma"
1,213850882,rs4342822-G,intron_variant,"response to radiation, breast carcinoma"
11,117199645,rs74949440-T,5_prime_UTR_variant,"response to radiation, breast carcinoma"
21,32505381,rs2833856-C,intron_variant,hepatitis virus-related hepatocellular carcinoma
1,157179630,rs4661093-A,intron_variant,hepatitis virus-related hepatocellular carcinoma
2,15642347,rs807624-A,regulatory_region_variant,Nephroblastoma
2,15589696,rs3755132-G,intergenic_variant,Nephroblastoma
1,55047322,rs2495478-T,non_coding_transcript_exon_variant,Nephroblastoma
5,92558085,rs1027643-T,intron_variant,Nephroblastoma
11,83909744,rs790356-G,intron_variant,Nephroblastoma
22,30617309,rs2283873-A,missense_variant,Nephroblastoma
1,155215184,rs140081212-G,non_coding_transcript_exon_variant,gastric adenocarcinoma
20,41420939,rs55864139-A,missense_variant,gastric adenocarcinoma
8,142680513,rs2294008-T,5_prime_UTR_variant,gastric adenocarcinoma
9,31497308,rs142123435-G,intergenic_variant,thyroid cancer
9,123376067,rs117564552-T,intron_variant,thyroid cancer
12,81007727,rs78752938-C,intron_variant,thyroid cancer
17,55651796,rs149128637-T,intergenic_variant,thyroid cancer
2,62309637,rs146928446-C,intron_variant,skin carcinoma in situ
5,40790449,rs10074991-G,intron_variant,gastric cardia carcinoma
15,61208153,rs112248293-A,intron_variant,kidney cancer
3,33805371,rs556301564-A,intron_variant,kidney cancer
7,2388319,rs73045247-G,intron_variant,kidney cancer
8,81581494,rs2556575-G,intron_variant,kidney cancer
11,69419887,rs7939721-C,regulatory_region_variant,kidney cancer
11,67704248,rs117037288-T,regulatory_region_variant,kidney cancer
8,6459947,rs141862746-T,intron_variant,kidney cancer
19,58014836,rs149401382-A,intron_variant,kidney cancer
9,136368120,rs138040332-T,intron_variant,kidney cancer
11,7379559,rs1023996-G,intron_variant,"colorectal cancer, breast carcinoma"
10,23995722,rs11013837-T,intron_variant,"colorectal cancer, breast carcinoma"
7,38728314,rs1468348-T,intron_variant,"colorectal cancer, breast carcinoma"
19,52526945,rs162277-C,regulatory_region_variant,"colorectal cancer, breast carcinoma"
7,38712494,rs7794030-A,intergenic_variant,"colorectal cancer, breast carcinoma"
4,4794716,rs34775372-C,intergenic_variant,"colorectal cancer, breast carcinoma"
19,55035675,rs112822051-C,intron_variant,"colorectal cancer, breast carcinoma"
20,19518790,rs113118767-T,intron_variant,"colorectal cancer, breast carcinoma"
1,10986798,rs9430161-G,intergenic_variant,Ewing sarcoma
15,40047293,rs4924410-A,intron_variant,Ewing sarcoma
10,62820815,rs224278-C,intron_variant,Ewing sarcoma
6,32702359,rs3135001-C,intergenic_variant,head and neck squamous cell carcinoma
6,31143898,rs1265081-A,intron_variant,head and neck squamous cell carcinoma
6,30057726,rs259919-A,splice_polypyrimidine_tract_variant,head and neck squamous cell carcinoma
3,150755819,rs60538652-A,intron_variant,BRCAX breast cancer
6,135969804,rs11154838-C,intron_variant,BRCAX breast cancer
6,151623479,rs9383936-A,intergenic_variant,BRCAX breast cancer
7,93992935,rs10953105-G,intron_variant,BRCAX breast cancer
8,61692700,rs2350923-T,intron_variant,BRCAX breast cancer
9,21995942,rs78545330-A,non_coding_transcript_exon_variant,BRCAX breast cancer
9,34129841,rs10814070-T,intergenic_variant,BRCAX breast cancer
10,127011685,rs9418690-C,intron_variant,BRCAX breast cancer
12,26617956,rs4964006-T,intron_variant,BRCAX breast cancer
12,95623181,rs67129489-G,intron_variant,BRCAX breast cancer
16,52565276,rs4784227-T,intron_variant,BRCAX breast cancer
17,72983988,rs4969001-T,intron_variant,BRCAX breast cancer
20,37635373,rs73107564-A,intergenic_variant,BRCAX breast cancer
3,150750021,rs6788895-G,intron_variant,BRCAX breast cancer
6,151627231,rs2046210-A,regulatory_region_variant,BRCAX breast cancer
10,121586602,rs2981575-G,intron_variant,BRCAX breast cancer
16,52565276,rs4784227-T,intron_variant,BRCAX breast cancer
2,60480453,rs1123573-G,intron_variant,"endometrial cancer, COVID-19"
9,133271745,rs554833-T,intron_variant,"endometrial cancer, COVID-19"
2,60480453,rs1123573-G,intron_variant,"endometrial cancer, COVID-19"
15,51261712,rs17601876-G,intron_variant,"endometrial cancer, COVID-19"
2,60480453,rs1123573-G,intron_variant,"endometrial cancer, COVID-19"
9,133271182,rs550057-T,intron_variant,"endometrial cancer, COVID-19"
6,484453,rs116446171-G,intergenic_variant,central nervous system non-hodgkin lymphoma
3,43577066,rs41289586-T,missense_variant,central nervous system non-hodgkin lymphoma
