name,chr,start,end
122,chr19,28990653,28990853
123,chr4,188031252,188031452
124,chr13,83931264,83931464
125,chr6,33015445,33015645
126,chr2,50773558,50773758
127,chr2,211664030,211664230
128,chr8,22781342,22781542
129,chr1,70588929,70589129
130,chr10,1421205,1421405
131,chr19,24038958,24039158
132,chr11,22338878,22339078
133,chr1,160810786,160810986
134,chr20,62500149,62500349
135,chr12,67572753,67572953
136,chr2,35416030,35416230
137,chr4,122696795,122696995
138,chr14,54674332,54674532
139,chr11,117139274,117139474
140,chr17,50076637,50076837
141,chr5,129725808,129726008
142,chr2,47678557,47678757
143,chr5,79689021,79689221
144,chr14,82396903,82397103
145,chr1,242211875,242212075
146,chr1,227920276,227920476
147,chr8,5565670,5565870
148,chr2,187566028,187566228
149,chr2,193348230,193348430
150,chr3,151102923,151103123
151,chr4,134624395,134624595
152,chr5,6143087,6143287
153,chr6,136506369,136506569
154,chr6,151101971,151102171
155,chr7,29282859,29283059
156,chr9,27354002,27354202
157,chr10,75538836,75539036
158,chr11,2003194,2003394
159,chr11,69101156,69101356
160,chr14,95981910,95982110
161,chr15,74263806,74264006
162,chr15,89468565,89468765
163,chr17,3972557,3972757
165,chr20,51598454,51598654
166,chr20,61565749,61565949
167,chr20,63234003,63234203
168,chr22,45845656,45845856
169,chrX,8704359,8704559
170,chrX,45904021,45904221
171,chr2,180146028,180146228
172,chr3,23746305,23746505
173,chr3,191922317,191922517
174,chr5,170264218,170264418
175,chr6,18485190,18485390
176,chr6,34141245,34141445
177,chr6,129196162,129196362
178,chr8,128463772,128463972
179,chr9,2213600,2213800
180,chr9,99299897,99300097
181,chr13,19686660,19686860
182,chr14,48264847,48265047
183,chr14,70291530,70291730
184,chr15,60120509,60120709
185,chr16,660199,660399
186,chr16,2998398,2998598
187,chr16,29911978,29912178
188,chr22,42381250,42381450
189,chrX,63755195,63755395
190,chr1,3353776,3353976
191,chr1,12065556,12065756
192,chr1,114023455,114023655
193,chr3,191671517,191671717
194,chr5,34545138,34545338
195,chr5,143737042,143737242
196,chr5,176775193,176775393
197,chr5,176942593,176942793
198,chr6,168332871,168333071
199,chr7,138204114,138204314
201,chr9,125429100,125429300
202,chr10,103191453,103191653
203,chr11,94657986,94658186
204,chr11,127036895,127037095
205,chr12,76624289,76624489
206,chr12,78874489,78874689
207,chr13,72535061,72535261
208,chr14,68629330,68629530
209,chr16,1249198,1249398
210,chr16,8887242,8887442
211,chr17,36842822,36843022
212,chr18,35492238,35492438
213,chr20,61515949,61516149
214,chr21,29860212,29860412
215,chr22,29885011,29885211
216,chrX,92829145,92829345
217,chr1,164592939,164593139
218,chr2,113672753,113672953
220,chr3,18993104,18993304
221,chr4,91567226,91567426
222,chr4,158261398,158261598
223,chr5,90304827,90305027
224,chr6,144644371,144644571
225,chr7,27433856,27434056
226,chr7,143885974,143886174
227,chr10,59015834,59016034
228,chr11,132332296,132332496
229,chr13,54133064,54133264
230,chr14,103347510,103347710
231,chr15,83477044,83477244
232,chr16,76886202,76886402
233,chr17,29596056,29596256
234,chr20,33674333,33674533
235,chr21,33859226,33859426
237,chrX,116813804,116814004
238,chr1,57356940,57357140
239,chr2,149315840,149316040
240,chr2,206232231,206232431
241,chr2,235757417,235757617
242,chr2,235848417,235848617
243,chr3,116115063,116115263
244,chr3,195810132,195810332
245,chr4,90733226,90733426
246,chr4,182083453,182083653
247,chr5,73484019,73484219
248,chr6,11993181,11993381
249,chr7,13749650,13749850
250,chr7,128017511,128017711
251,chr9,8750600,8750800
252,chr9,78025064,78025264
253,chr9,85156465,85156665
254,chr14,33165043,33165243
255,chr15,70631207,70631407
256,chr22,32211813,32212013
257,chr5,119403406,119403606
258,chr2,187558428,187558628
259,chr16,70660396,70660596
260,chr5,162809216,162809416
261,chr4,151553198,151553398
262,chr18,37188639,37188839
263,chr19,17847191,17847391
264,chr7,155225557,155225757
265,chr2,9393620,9393820
266,chr4,104692194,104692394
267,chr1,10819756,10819956
268,chr16,12228842,12229042
269,chr13,89242745,89242945
270,chr14,63396929,63397129
271,chr9,121947900,121948100
272,chr6,56793243,56793443
273,chr9,136748527,136748727
274,chr17,43363506,43363706
275,chr12,67555153,67555353
276,chr2,61640161,61640361
277,chr6,34138245,34138445
278,chr7,148399575,148399775
279,chr7,97371152,97371352
280,chr5,492085,492285
281,chr13,51427063,51427263
282,chr6,37821646,37821846
283,chr4,182293853,182294053
284,chr20,63217203,63217403
285,chr12,22697399,22697599
286,chr2,184031428,184031628
287,chr9,132483592,132483792
288,chr8,125417376,125417576
289,chr17,27490047,27490247
290,chr12,44771550,44771750
291,chr2,138648560,138648760
292,chr13,100153345,100153545
293,chr19,7800314,7800514
294,chr2,15643225,15643425
295,chr6,87932163,87932363
296,chr2,199983632,199983832
297,chr2,205284031,205284231
298,chr2,207410031,207410231
299,chr3,46380705,46380905
300,chr3,56121932,56122132
301,chr4,13647478,13647678
302,chr4,86449023,86449223
303,chr4,133096595,133096795
304,chr4,147626399,147626599
305,chr6,84217963,84218163
306,chr6,107103303,107103503
307,chr8,39031724,39031924
308,chr9,104934498,104934698
309,chr10,34414466,34414666
310,chr11,133134695,133134895
311,chr12,45131550,45131750
312,chr12,116281212,116281412
313,chr17,57911840,57912040
314,chr18,61802987,61803187
315,chr19,37836320,37836520
316,chr20,16368555,16368755
317,chrX,154033355,154033555
318,chr1,19005719,19005919
319,chr1,56375140,56375340
320,chr1,63944341,63944541
321,chr1,247387675,247387875
322,chr2,106270512,106270712
323,chr2,239440369,239440569
324,chr3,117149463,117149663
325,chr4,148115399,148115599
326,chr4,149184198,149184398
327,chr5,167728017,167728217
328,chr7,101161799,101161999
329,chr7,146413775,146413975
330,chr9,27671602,27671802
331,chr11,44956473,44956673
332,chr11,88428984,88429184
333,chr14,56858729,56858929
334,chr14,72934739,72934939
335,chr18,55215371,55215571
336,chr19,7211789,7211989
337,chr20,4050353,4050553
338,chr22,42417850,42418050
339,chr1,81251927,81252127
340,chr1,181592441,181592641
341,chr2,15128225,15128425
342,chr2,117551954,117552154
343,chr4,38121984,38122184
344,chr4,101327820,101328020
345,chr4,122825595,122825795
346,chr5,55691815,55692015
347,chr8,10337680,10337880
348,chr9,74487664,74487864
349,chr12,52291749,52291949
350,chr12,111033213,111033413
351,chr13,54210864,54211064
352,chr14,99143710,99143910
353,chr15,49391311,49391511
354,chr16,52501987,52502187
355,chr18,37525639,37525839
356,chr18,45605637,45605837
357,chr19,5689789,5689989
358,chr20,59412550,59412750
359,chr1,52590540,52590740
360,chr2,36296553,36296753
361,chr3,133192266,133192466
362,chr3,149003723,149003923
363,chr4,5785172,5785372
364,chr5,155924212,155924412
365,chr5,175546991,175547191
366,chr8,35038340,35038540
367,chr8,55131886,55132086
368,chr9,106758898,106759098
369,chr9,136102133,136102333
370,chr10,86866863,86867063
371,chr12,40106731,40106931
372,chr12,113512212,113512412
373,chr13,108214851,108215051
374,chr13,114304823,114305023
375,chr14,101945310,101945510
376,chr20,31924136,31924336
377,chr20,40096145,40096345
378,chr1,81665127,81665327
379,chr1,109488655,109488855
380,chr1,164086939,164087139
382,chr2,79882566,79882766
383,chr3,65390685,65390885
384,chr4,139852996,139853196
385,chr6,38476046,38476246
386,chr6,41572684,41572884
387,chr7,90149550,90149750
388,chr10,1521405,1521605
389,chr12,64059953,64060153
390,chr12,80849690,80849890
391,chr13,52906864,52907064
392,chr13,112619685,112619885
393,chr16,52261987,52262187
394,chr18,39647638,39647838
395,chr18,48983232,48983432
396,chr22,18821087,18821287
397,chrX,105634151,105634351
398,chr12,104657892,104658092
399,chr2,67329564,67329764
400,chr15,67549208,67549408
401,chr12,130948502,130948702
402,chr3,194184317,194184517
403,chr6,6169568,6169768
405,chr12,8527537,8527737
406,chr8,144465609,144465809
407,chr1,112524655,112524855
408,chr14,92336903,92337103
409,chr12,119274612,119274812
410,chr1,65396329,65396529
411,chr8,17913211,17913411
412,chr11,113884468,113884668
413,chr17,77969923,77970123
414,chr15,68293408,68293608
415,chr3,75634359,75634559
416,chr9,69822464,69822664
417,chr1,4071080,4071280
418,chr16,22616578,22616778
419,chr4,25215280,25215480
420,chr6,106453832,106454032
421,chr22,48187524,48187724
422,chr17,9221558,9221758
423,chr2,8224619,8224819
424,chrX,109184315,109184515
425,chr7,114825109,114825309
426,chr2,177147626,177147826
427,chr2,121686554,121686754
428,chr2,21289423,21289623
429,chr13,59544865,59545065
430,chr1,116949455,116949655
431,chr3,20394504,20394704
432,chr7,121488110,121488310
433,chr17,14389758,14389958
434,chr1,241637075,241637275
435,chr2,170680644,170680844
436,chr20,21938562,21938762
437,chr7,41956077,41956277
438,chr18,3048202,3048402
439,chr11,8869277,8869477
440,chr12,49882150,49882350
441,chr5,50549809,50550009
442,chr2,168534644,168534844
443,chr11,76447508,76447708
444,chr4,91270026,91270226
445,chr4,179146052,179146252
446,chr4,183801453,183801653
447,chr6,20881190,20881390
448,chr6,107705303,107705503
449,chr10,97868453,97868653
450,chr11,95293388,95293588
451,chr16,4188998,4189198
452,chr16,11665843,11666043
453,chr16,49539388,49539588
454,chr16,61939795,61939995
455,chr17,7711157,7711357
456,chr19,55140820,55141020
457,chr22,17463963,17464163
458,chr22,40244250,40244450
459,chr1,10839756,10839956
460,chr1,107524655,107524855
461,chr5,68794217,68794417
462,chr6,2908167,2908367
463,chr6,70759776,70759976
464,chr6,70998176,70998376
465,chr6,151615572,151615772
466,chr6,156872574,156872774
467,chr7,30450259,30450459
468,chr7,139972732,139972932
469,chr8,143286655,143286855
470,chr9,115192100,115192300
471,chr10,86424063,86424263
472,chr11,116460473,116460673
473,chr11,133714295,133714495
474,chr12,118115812,118116012
475,chr13,93560746,93560946
476,chr13,110527452,110527652
477,chr18,55352171,55352371
478,chr19,51053331,51053531
479,chr22,34763609,34763809
480,chr1,64861129,64861329
481,chr1,91138455,91138655
482,chr1,205438649,205438849
483,chr2,1767621,1767821
484,chr2,96946536,96946736
485,chr2,188453828,188454028
486,chr4,79554822,79555022
487,chr4,119597597,119597797
488,chr5,68190816,68191016
489,chr5,175875791,175875991
490,chr6,160241978,160242178
491,chr7,43601476,43601676
492,chr7,149302176,149302376
493,chr9,10331400,10331600
494,chr9,123364100,123364300
495,chr11,44191274,44191474
496,chr11,70174846,70175046
497,chr15,60560109,60560309
498,chr15,76108404,76108604
499,chr17,17623761,17623961
501,chr18,46772639,46772839
502,chr19,28167853,28168053
503,chr1,100435056,100435256
504,chr1,112827255,112827455
505,chr1,117010455,117010655
506,chr1,208178632,208178832
507,chr2,124326353,124326553
508,chr3,71046359,71046559
509,chr3,72695959,72696159
510,chr4,61389087,61389287
511,chr6,114328743,114328943
512,chr6,143936970,143937170
513,chr7,25907255,25907455
515,chr10,71577237,71577437
516,chr11,11662477,11662677
517,chr11,45372673,45372873
518,chr11,45654674,45654874
519,chr13,73973062,73973262
520,chr14,95256710,95256910
521,chr1,34478612,34478812
522,chr2,52021758,52021958
523,chr2,117849954,117850154
524,chr2,153404440,153404640
525,chr2,212752831,212753031
526,chr3,14091699,14091899
527,chr4,78922222,78922422
528,chr4,138870996,138871196
529,chr6,138116170,138116370
530,chr8,4039270,4039470
531,chr8,53317887,53318087
532,chr10,25766265,25766465
533,chr10,48927149,48927349
534,chr11,84390509,84390709
535,chr11,127769495,127769695
536,chr12,124797301,124797501
537,chr14,64581329,64581529
538,chr15,61144309,61144509
539,chr16,84136694,84136894
540,chr18,27778838,27779038
541,chr22,28209812,28210012
542,chr22,46119456,46119656
543,chr12,128159102,128159302
544,chr19,10087324,10087524
545,chr3,47076706,47076906
546,chr17,73515666,73515866
547,chr12,32087399,32087599
548,chr7,119753310,119753510
549,chr2,58497361,58497561
550,chr5,120942206,120942406
551,chr17,81941433,81941633
552,chr15,82707394,82707594
553,chr3,39578505,39578705
554,chr15,93281167,93281367
555,chr14,95895710,95895910
556,chr19,12138585,12138785
557,chr21,19554415,19554615
558,chr8,778600,778800
559,chr14,103854110,103854310
560,chr13,79282264,79282464
561,chr2,230905041,230905241
562,chr2,54384959,54385159
563,chr13,55653264,55653464
564,chr14,64967929,64968129
565,chr2,1236277,1236477
566,chr12,7251137,7251337
567,chr21,17468011,17468211
568,chr12,95986691,95986891
569,chr11,62224352,62224552
570,chr1,162399386,162399586
571,chr18,58769588,58769788
572,chr11,94432786,94432986
573,chr12,43471330,43471530
574,chr8,10548480,10548680
575,chr7,129038310,129038510
576,chr13,110317252,110317452
577,chr5,175540391,175540591
578,chr21,42747221,42747421
579,chr8,27652164,27652364
580,chr8,74867010,74867210
581,chr9,70100264,70100464
582,chr5,133601210,133601410
583,chr4,145892398,145892598
584,chr11,126588895,126589095
585,chr7,189517,189717
586,chr12,74542353,74542553
587,chr3,172364516,172364716
588,chr4,30917280,30917480
589,chr14,67256930,67257130
590,chr17,43878706,43878906
591,chr7,106029518,106029718
592,chr1,54995539,54995739
593,chr1,179584042,179584242
594,chr2,96409935,96410136
595,chr2,120867355,120867555
596,chr2,131544557,131544757
597,chr2,199409432,199409632
598,chr3,57152132,57152332
599,chr5,114449804,114450004
600,chr5,141687249,141687449
601,chr6,799600,799800
602,chr7,73564534,73564734
603,chr8,25282367,25282567
604,chr8,61912887,61913087
605,chr8,79118810,79119010
606,chr9,117768901,117769101
607,chr10,69100838,69101038
608,chr16,8764242,8764442
609,chr20,51397456,51397656
610,chr22,20243477,20243677
611,chr22,49534947,49535147
612,chr1,230518231,230518431
613,chr2,232269646,232269846
614,chr3,58037833,58038033
615,chr5,55627615,55627815
616,chr6,125432955,125433155
617,chr6,155149574,155149774
618,chr7,28389056,28389256
619,chr7,91325549,91325749
620,chr11,41458074,41458274
621,chr11,77069706,77069906
622,chr11,131918296,131918496
623,chr12,120447814,120448014
624,chr13,44421064,44421264
625,chr14,77221704,77221904
626,chr15,80389403,80389603
627,chr16,55390987,55391187
628,chr17,50586640,50586840
629,chr17,57917440,57917640
630,chr18,25181238,25181438
631,chr20,24918164,24918364
632,chr20,57471138,57471338
633,chrX,133914107,133914307
634,chr1,16116718,16116918
635,chr2,43713957,43714157
636,chr2,158514042,158514242
637,chr2,231452245,231452445
638,chr3,33425904,33426104
639,chr3,51091929,51092129
640,chr4,153270598,153270798
641,chr5,143278842,143279042
642,chr6,65260186,65260386
643,chr7,154171982,154172182
644,chr8,7087668,7087868
645,chr9,135297733,135297933
646,chr10,106053052,106053252
647,chr11,120610881,120611081
649,chr16,31635578,31635778
650,chr17,36614049,36614249
651,chr18,70221784,70221984
652,chr19,36792258,36792458
653,chr20,55267254,55267454
655,chr1,208098632,208098832
656,chr2,167387644,167387844
657,chr2,236402218,236402418
658,chr3,123333463,123333663
659,chr4,54517676,54517876
660,chr4,87934224,87934424
661,chr5,127293809,127294009
662,chr5,150673645,150673845
663,chr6,160133178,160133378
664,chr7,2465839,2466039
665,chr7,23108856,23109056
666,chr7,51357009,51357209
667,chr8,89151455,89151655
668,chr9,123376300,123376500
669,chr9,136142133,136142333
670,chr11,66539953,66540153
671,chr13,113617084,113617284
672,chr14,76409704,76409904
673,chr15,86232165,86232365
674,chr15,96590166,96590366
675,chr15,98600248,98600448
676,chr17,78675123,78675323
677,chr18,57447970,57448170
680,chr1,7885353,7885553
681,chr2,204530832,204531032
682,chr2,232605846,232606046
683,chr2,236014817,236015017
684,chr3,107665863,107666063
685,chr4,4396772,4396972
686,chr4,108916995,108917195
687,chr5,57950816,57951016
688,chr7,51877810,51878010
689,chr7,107936719,107936919
690,chr9,136057333,136057533
691,chr10,48317151,48317351
692,chr12,18966999,18967199
693,chr14,72980739,72980939
694,chr15,50823311,50823511
695,chr15,101047272,101047472
696,chr16,7218998,7219198
697,chr17,75844724,75844924
698,chr21,32806220,32806420
699,chrX,138287175,138287375
700,chr8,33486340,33486540
701,chr9,130996992,130997192
702,chr1,29283301,29283501
703,chr4,119667997,119668197
704,chr9,73214264,73214464
705,chr7,54188413,54188613
706,chr2,50222358,50222558
707,chr10,43250746,43250946
708,chr4,64848887,64849087
709,chr13,111241852,111242052
710,chr17,49876038,49876238
711,chr1,41754342,41754542
712,chr10,33862266,33862466
713,chr9,96256097,96256297
714,chr11,27740077,27740277
715,chr11,73498507,73498707
717,chr7,17921652,17921852
718,chr20,24494164,24494364
719,chr1,204834449,204834649
720,chr4,188432452,188432652
721,chr15,42080910,42081110
722,chr15,85864765,85864965
723,chr8,55909487,55909687
724,chrX,104950863,104951063
725,chr19,54172019,54172219
726,chr6,83079762,83079962
727,chr2,191078229,191078429
728,chr4,100546020,100546220
729,chr1,56633139,56633339
730,chr12,39392931,39393131
732,chr10,71074437,71074637
733,chr13,113560484,113560684
734,chr6,158049580,158049780
735,chr3,8113913,8114113
736,chr9,91346497,91346697
737,chr1,109498255,109498455
738,chr3,13162900,13163100
739,chr1,14404317,14404517
740,chr10,86855063,86855263
741,chr13,62085666,62085866
3687,chr2,88001566,88001766
3688,chr3,127061467,127061667
3689,chr3,172261516,172261716
3690,chr3,176526318,176526518
3691,chr4,113209395,113209595
3693,chr7,70540478,70540678
3694,chr7,107975319,107975519
3695,chr7,152412182,152412382
3696,chr9,129936300,129936500
3697,chr12,44654550,44654750
3698,chr13,34935463,34935663
3699,chr16,88258293,88258493
3700,chr17,18409361,18409561
3701,chr17,73091266,73091466
3702,chr22,27680203,27680403
3703,chrX,138666973,138667173
3704,chr1,17335918,17336118
3705,chr1,19352919,19353119
3706,chr1,43552942,43553142
3707,chr1,54813539,54813739
3708,chr1,226474276,226474476
3709,chr4,694411,694611
3710,chr4,80462022,80462222
3711,chr5,115864604,115864804
3712,chr5,130156408,130156608
3713,chr5,139641631,139641831
3714,chr6,9085968,9086168
3715,chr6,143055970,143056170
3716,chr7,15781850,15782050
3717,chr7,30354459,30354659
3719,chr9,33415402,33415602
3720,chr9,129506300,129506500
3721,chr10,47307967,47308167
3722,chr12,1843973,1844173
3723,chr14,67198930,67199130
3724,chr15,40238107,40238307
3725,chr16,19316977,19317177
3726,chr16,84558493,84558693
3727,chr17,79029723,79029923
3728,chr19,10085524,10085724
3729,chr22,26570035,26570235
3730,chr2,85456766,85456966
3731,chr2,134825760,134825960
3732,chr3,183826918,183827118
3733,chr5,714685,714885
3734,chr5,129399208,129399408
3735,chr6,15207990,15208190
3736,chr6,73129756,73129956
3737,chr6,132967968,132968168
3738,chr6,142148570,142148770
3739,chr7,139955132,139955332
3740,chr10,81901064,81901264
3741,chr12,131428102,131428302
